Date, Open, High, Low, Close, Volume
10/17/18, 68.01, 68.30, 66.60, 67.05, 2828711
10/16/18, 68.13, 68.47, 67.50, 68.28, 2458697
10/15/18, 67.81, 68.24, 66.68, 67.63, 3920376
10/12/18, 67.20, 67.98, 66.30, 67.63, 4466022
10/11/18, 67.42, 68.08, 65.93, 66.28, 4332620
10/10/18, 70.59, 70.90, 67.96, 68.00, 4418780
10/09/18, 69.89, 71.11, 69.36, 70.61, 3586523
10/08/18, 69.05, 69.7799, 68.39, 69.27, 3049822
10/05/18, 68.88, 69.56, 68.54, 69.12, 3229308
10/04/18, 68.64, 69.60, 68.31, 68.91, 3102218
10/03/18, 68.22, 69.38, 67.85, 69.13, 3331960
10/02/18, 68.83, 68.83, 67.66, 68.00, 2511682
10/01/18, 67.77, 69.05, 67.54, 68.74, 3920422
09/28/18, 66.38, 67.795, 66.30, 67.41, 3543299
09/27/18, 67.31, 67.43, 66.47, 66.50, 3067841
09/26/18, 66.39, 67.27, 66.39, 66.62, 3658561
09/25/18, 66.35, 67.47, 66.35, 66.82, 3250770
09/24/18, 66.03, 66.65, 65.34, 66.01, 3068975
09/21/18, 64.10, 65.45, 63.85, 64.64, 5139520
09/20/18, 65.03, 65.34, 63.66, 63.86, 2641908
09/19/18, 64.74, 65.35, 64.57, 64.76, 2636428
09/18/18, 64.61, 65.40, 64.47, 64.75, 4404060
09/17/18, 63.24, 64.32, 63.24, 63.97, 4000318
09/14/18, 62.32, 63.5674, 62.32, 63.01, 4341889
09/13/18, 61.59, 62.73, 61.26, 62.44, 6499395
09/12/18, 63.10, 63.30, 60.55, 61.77, 7113393
09/11/18, 62.53, 63.58, 62.19, 62.57, 5325787
09/10/18, 63.82, 64.21, 63.12, 63.18, 3240006
09/07/18, 63.19, 63.65, 62.38, 63.54, 2513310
09/06/18, 64.33, 64.985, 63.37, 63.68, 4271121
09/05/18, 63.72, 64.69, 63.11, 64.39, 4251944
09/04/18, 64.41, 64.84, 63.69, 63.96, 2452377
08/31/18, 64.21, 64.68, 63.70, 64.40, 3217032
08/30/18, 64.84, 65.22, 63.76, 64.45, 3794651
08/29/18, 65.61, 65.88, 64.455, 64.99, 5443776
08/28/18, 64.65, 65.23, 64.17, 64.87, 4141054
08/27/18, 63.77, 64.70, 63.54, 64.55, 2984974
08/24/18, 63.74, 64.18, 63.23, 63.65, 2925569
08/23/18, 63.07, 63.47, 62.65, 63.09, 3179499
08/22/18, 63.12, 63.98, 63.01, 63.57, 3848092
08/21/18, 62.88, 63.70, 62.395, 62.56, 3875273
08/20/18, 62.00, 62.50, 61.83, 62.32, 4291447
08/17/18, 62.94, 62.94, 61.745, 62.05, 4882832
08/16/18, 62.87, 63.605, 62.25, 62.31, 6578490
08/15/18, 66.07, 66.205, 62.26, 62.34, 8720771
08/14/18, 67.15, 67.38, 66.58, 66.98, 3626289
08/13/18, 66.66, 67.345, 66.19, 66.34, 3933113
08/10/18, 65.79, 67.225, 65.74, 66.82, 6783082
08/09/18, 65.40, 66.48, 65.09, 66.06, 6292804
08/08/18, 64.15, 65.49, 63.93, 65.15, 8035300
08/07/18, 68.55, 68.55, 64.40, 64.54, 15395335
08/06/18, 69.00, 69.68, 67.60, 68.28, 6847131
08/03/18, 69.46, 69.528, 67.765, 68.26, 3959666
08/02/18, 68.83, 69.73, 68.26, 69.67, 5483996
08/01/18, 71.95, 72.05, 67.81, 69.57, 9216141
07/31/18, 73.79, 74.21, 72.74, 73.15, 3507566
07/30/18, 73.18, 74.1999, 73.01, 73.71, 3735971
07/27/18, 72.79, 73.19, 71.99, 72.40, 2420257
07/26/18, 73.05, 73.77, 72.74, 73.33, 2837936
07/25/18, 72.16, 73.49, 72.12, 73.31, 3806802
07/24/18, 71.94, 73.02, 71.25, 72.36, 3047952
07/23/18, 71.40, 72.19, 70.98, 71.06, 2852463
07/20/18, 71.24, 71.37, 70.5656, 70.95, 2545901
07/19/18, 71.15, 71.6299, 70.47, 71.08, 3427904
07/18/18, 71.01, 71.73, 70.12, 71.50, 3018471
07/17/18, 72.15, 72.23, 70.94, 71.43, 3855922
07/16/18, 73.30, 73.90, 71.58, 72.84, 3239727
07/13/18, 73.61, 75.27, 73.43, 74.59, 2825323
07/12/18, 73.59, 74.049, 72.605, 73.69, 2887630
07/11/18, 74.50, 75.22, 72.40, 73.35, 3777985
07/10/18, 75.80, 76.6999, 74.78, 75.47, 4230197
07/09/18, 74.23, 75.19, 74.23, 75.18, 5557381
07/06/18, 71.89, 73.995, 71.80, 73.66, 2962700
07/05/18, 73.94, 74.24, 72.31, 72.58, 2853800
07/03/18, 73.59, 74.74, 72.98, 73.46, 2185403
07/02/18, 72.70, 72.76, 71.63, 72.44, 3623933
06/29/18, 73.53, 74.8903, 73.22, 73.25, 4455676
06/28/18, 74.77, 75.095, 73.19, 73.58, 4125503
06/27/18, 73.95, 75.50, 73.88, 74.33, 5772966
06/26/18, 72.19, 73.37, 71.37, 73.07, 5008372
06/25/18, 73.83, 74.35, 71.3652, 71.89, 4605576
06/22/18, 72.24, 74.718, 71.96, 74.11, 12689507
06/21/18, 69.75, 70.08, 68.88, 69.46, 4884449
06/20/18, 69.77, 70.39, 68.74, 70.10, 4941449
06/19/18, 68.59, 70.03, 68.50, 69.08, 3835746
06/18/18, 68.98, 70.72, 68.54, 69.64, 5634498
06/15/18, 70.65, 70.93, 67.54, 68.49, 8703742
06/14/18, 72.07, 72.54, 70.78, 71.04, 4624304
06/13/18, 71.11, 71.969, 70.89, 71.28, 4140508
06/12/18, 71.29, 72.16, 70.6551, 71.35, 4560217
06/11/18, 71.42, 72.10, 71.01, 71.68, 3260692
06/08/18, 71.72, 71.86, 70.96, 71.40, 3087706
06/07/18, 70.10, 72.03, 69.85, 71.65, 4663340
06/06/18, 69.56, 70.16, 68.66, 69.45, 3764057
